book_name,book_image,book_author,book_info
,,,
"The Well-Grounded Rubyist, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/2018/12/The-Well-Grounded-Rubyist-2nd-Edition.jpg,David A. Black,"The Well-Grounded Rubyist, Second Editionaddresses both newcomers to Ruby as well as Ruby programmers who want to deepen their understanding of the language. This beautifully written and totally revised second edition includes coverage of features that are new in Ruby 2.1, as well as expanded and updated coverage¡­"
,,,
Decoupled Drupal in Practice,http://www.allitebooks.com/wp-content/uploads/2018/12/Decoupled-Drupal-in-Practice.jpg,Preston So,Gain a clear understanding of the most important concepts in the decoupled CMS landscape. You will learn how to architect and implement decoupled Drupal architectures across the stackâ€•from building the back end and designing APIs to integrating with front-end technologies. You¡¯ll also review presenting data through consumer applications¡­
,,,
"Mining the Social Web, 3rd Edition",http://www.allitebooks.com/wp-content/uploads/2018/12/Mining-the-Social-Web-3rd-Edition.jpg,Matthew A. Russell,"Mine the rich data tucked away in popular social websites such as Twitter, Facebook, LinkedIn, and Instagram. With the third edition of this popular guide, data scientists, analysts, and programmers will learn how to glean insights from social mediaâ€”including whoâ€™s connecting with whom, what theyâ€™re talking about, and¡­"
,,,
Effective MySQL Replication Techniques in Depth,http://www.allitebooks.com/wp-content/uploads/2018/12/Effective-MySQL-Replication-Techniques-in-Depth.jpg,Chris Schneider,"Publisher¡¯s Note: Products purchased from Third Party sellers are not guaranteed by the publisher for quality,authenticity, or access to any online entitlements included with the product. The Essential Guide to Scaling Your Business Solution Written by Oracle ACE Director and MySQL expert Ronald Bradford, with coauthor Chris Schneider,Effective¡­"
,,,
Google Voice For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/12/Google-Voice-For-Dummies-400x493.jpg,Bud E. Smith,"Save time and money with Google¡¯s revolutionary new phone system Google Voice combines existing phone lines, e-mail, and Web access into one central communication channel. Tech industry watchers expect it to give Skype some serious competition, yet little information is available on this new Google service. Google Voice¡­"
,,,
Practical Tinker Board,http://www.allitebooks.com/wp-content/uploads/2018/12/Practical-Tinker-Board.jpg,Liz Clark,"Get started with the ASUSTinker Board and begin building and expanding your own projects. This book covers the basic operating systems offered by ASUSfor the Tinker Board and Tinker Board S, TinkerOS and Android, and then dives deeper into its capabilities for projects; such as a music streamer¡­"
,,,
UX for Developers,http://www.allitebooks.com/wp-content/uploads/2018/12/UX-for-Developers.jpg,Westley Knight,"Become more mindful of the user when building digital products, and learn how to integrate a user-centered approach into your thinking as a web or app developer. This book shows you how the user experience is the responsibility of everyone involved in creating the product and how to¡­"
,,,
"Beginning Functional JavaScript, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/2018/12/Beginning-Functional-JavaScript-2nd-Edition.jpg,Anto Aravinth,"Understand functional programming concepts and the functional nature of the JavaScript language. Starting with an introduction to functional programming concepts, you will learn the key differences between imperative and functional programming. Diving straight into JavaScript functions, you will learn to write them with ES8. Followed by this you¡­"
,,,
Data Wrangling with JavaScript,http://www.allitebooks.com/wp-content/uploads/2018/12/Data-Wrangling-with-JavaScript.jpg,Ashley Davis,"Data Wrangling with JavaScriptis hands-on guide that will teach you how to create a JavaScript-based data processing pipeline, handle common and exotic data, and master practical troubleshooting strategies."
,,,
"SQL For Dummies, 9th Edition",http://www.allitebooks.com/wp-content/uploads/2018/12/SQL-For-Dummies-9th-Edition.jpg,Allen G. Taylor,"Get ready to make SQL easy! Updated for the latest version of SQL, the new edition of this perennial bestseller shows programmers and web developers how to use SQL to build relational databases and get valuable information from them. Covering everything you need to know to make working¡­"
,,,
Think Like a Data Scientist,http://www.allitebooks.com/wp-content/uploads/2018/12/Think-Like-a-Data-Scientist.jpg,Brian Godsey,"Think Like a Data Scientistpresents a step-by-step approach to data science, combining analytic, programming, and business perspectives into easy-to-digest techniques and thought processes for solving real world data-centric problems."
,,,
"Amazon Web Services in Action, 2nd Edition",http://www.allitebooks.com/wp-content/uploads/2018/12/Amazon-Web-Services-in-Action-2nd-Edition.jpg,Andreas Wittig,"Amazon Web Services in Action, Second Editionis a comprehensive introduction to computing, storing, and networking in the AWS cloud. You¡¯ll find clear, relevant coverage of all the essential AWS services you to know, emphasizing best practices for security, high availability and scalability. Foreword by Ben Whaley, AWS community¡­"
,,,
Learn R for Applied Statistics,http://www.allitebooks.com/wp-content/uploads/2018/12/Learn-R-for-Applied-Statistics.jpg,Eric Goh Ming Hui,"Gain the R programming language fundamentals for doing the applied statistics useful for data exploration and analysis in data science and data mining. This book covers topics ranging from R syntax basics, descriptive statistics, and data visualizations to inferential statistics and regressions. After learning Râ€™s syntax, you will¡­"
,,,
Scaling Your Node.js Apps,http://www.allitebooks.com/wp-content/uploads/2018/11/Scaling-Your-Node.js-Apps.jpg,Fernando Doglio,"Take your Node.js application into production-ready status, capable of scaling up to whatever your needs might be. You¡¯ll discover that architecting for successful, popular sites is an essential tool of any professional Node.js developer, and learning to scale your own applications is a great place to start. Using¡­"
,,,
Spring Boot 2 Recipes,http://www.allitebooks.com/wp-content/uploads/2018/11/Spring-Boot-2-Recipes.jpg,Marten Deinum,"Solve all your Spring Boot 2 problems using complete and real-world code examples. When you start a new project, youâ€™ll be able to copy the code and configuration files from this book, and then modify them for your needs. This can save you a great deal of work¡­"
,,,
Raspbian OS Programming with the Raspberry Pi,http://www.allitebooks.com/wp-content/uploads/2018/11/Raspbian-OS-Programming-with-the-Raspberry-Pi.jpg,Agus Kurniawan,Master the command line and Raspbian Linux as well as the physical connections of the Pi. With this book youâ€™ll develop skills applicable to other real world applications in both hardware and software development all while working on simple and fun IoT projects that you can do yourself¡­.
,,,
Developing 2D Games with Unity,http://www.allitebooks.com/wp-content/uploads/2018/11/Developing-2D-Games-with-Unity.jpg,Jared Halpern,"Follow a walkthrough of the Unity Engine and learn important 2D-centric lessons in scripting, working with image assets, animations, cameras, collision detection, and state management. In addition to the fundamentals, you¡¯ll learn best practices, helpful game-architectural patterns, and how to customize Unity to suit your needs, all in¡­"
,,,
Emotionally Intelligent Design,http://www.allitebooks.com/wp-content/uploads/2018/11/Emotionally-Intelligent-Design.jpg,Pamela Pavliscak,"As technology becomes deeply integrated into every aspect of our lives, weâ€™ve begun to expect more emotionally intelligent interactions. But smartphones donâ€™t know if weâ€™re having a bad day, and cars couldnâ€™t care less about compassion. Technology is developing more IQ, but it still lacks EQ. In this¡­"
,,,
Microsoft Office 2019 Inside Out,http://www.allitebooks.com/wp-content/uploads/2018/11/Microsoft-Office-2019-Inside-Out-400x491.jpg,Joe Habraken,"Conquer Microsoft Office 2019rom the inside out! Dive into Microsoft Office 2019â€nd really put its productivity toolsand services to work! This supremely organized reference packs hundreds of timesaving solutions, tips, and workaroundsâ€ll you need to make the most of Officeâ€™s most powerful tools for productivity and decision-making. Renowned¡­"
,,,
Dynamics 365 CE Essentials,http://www.allitebooks.com/wp-content/uploads/2018/11/Dynamics-365-CE-Essentials.jpg,Sarah Critchley,"Discover how to set up core Dynamics 365 Customer Engagement functionality and learn how to build more customized processes on top of the standard capabilities. This book starts by showing you how to set up the Dynamics 365 Online system for sales, customer service, marketing, field service, and¡­"
,,,
Oracle Warehouse Builder 11g R2,http://www.allitebooks.com/wp-content/uploads/2018/11/Oracle-Warehouse-Builder-11g-R2-400x494.jpg,Bob Griesemer,"This easy-to-understand tutorial covers Oracle Warehouse Builder from the ground up, and taps into the author¡¯s wide experience as a software and database engineer. Written in a relaxed style with step-by-step explanations, lots of screenshots are provided throughout the book. There are numerous tips and helpful hints throughout¡­"
,,,
Data Analysis and Visualization Using Python,http://www.allitebooks.com/wp-content/uploads/2018/11/Data-Analysis-and-Visualization-Using-Python.jpg,Dr. Ossama Embarak,"Look at Python from a data science point of view and learn proven techniques for data visualization as used in making critical business decisions. Starting with an introduction to data science with Python, you will take a closer look at the Python environment and get acquainted with editors¡­"
,,,
Office 2019 For Dummies,http://www.allitebooks.com/wp-content/uploads/2018/11/Office-2019-For-Dummies.jpg,Wallace Wang,"Now updated and revised to cover the latest features of Microsoft Office 2019 The worldâ€™s leading suite of business productivity software, Microsoft Office helps users complete common business tasks, including word processing, email, presentations, data management and analysis, and much more. Whether you need accessible instruction on Word,¡­"
,,,
Prototype and Scriptaculous in Action,http://www.allitebooks.com/wp-content/uploads/2018/11/Prototype-and-Scriptaculous-in-Action-400x499.jpg,Bear Bibeault,"Prototype and Scriptaculous are libraries that extend standard Ajax. They make it easier to program Ajax and provide powerful features like drag and drop and animation. In this book, developers learn by playing and see how the libraries work in the real world. As experience with Ajax increases,¡­"
,,,
Beginning iOS AR Game Development,http://www.allitebooks.com/wp-content/uploads/2018/11/Beginning-iOS-AR-Game-Development.jpg,Allan Fowler,Create a fully featured application thatâ€™s both sophisticated and engaging. This book provides a detailed guide in developing augmented reality games that can take advantage of the advanced capabilities of new iOS devices and code while also offering compatibility with still supported legacy devices. No programming experience is¡­
,,,
Adobe AIR in Action,http://www.allitebooks.com/wp-content/uploads/2018/11/Adobe-AIR-in-Action.jpg,Ashley Atkins,"Adobe AIR is one of the hottest topics in rich application development. This exciting new technology is still in beta, but it¡¯s already being adopted by such web giants as eBay. With AIR, Web developers use their existing skills to build rich applications that flow seamlessly between the¡­"
,,,
Agile Office 365,http://www.allitebooks.com/wp-content/uploads/2018/11/Agile-Office-365.jpg,Haniel Croitoru,"Plan, deploy, and run Office 365 using an agile project management approach. This soup-to-nuts guide teaches you how to apply agile techniques in order to make your Office 365 implementation a success, even as the Microsoft Office 365 platform continues to evolve and introduce new features. The author¡¯s¡­"
,,,
Teach Yourself VISUALLY Adobe Photoshop CS6,http://www.allitebooks.com/wp-content/uploads/2018/11/Teach-Yourself-VISUALLY-Adobe-Photoshop-CS6.jpg,Brianna Stuart,"Gets visual learners up to speed on the newest enhancementsin Photoshop Photoshop is constantly evolving, and the newest version offersgreat new tools for photographers. This popular guide gets visuallearners up to speed quickly; previous editions have sold more than150,000 copies. With colorful screen shots illustrating thestep-by-step instructions, this¡­"
,,,
Adobe Photoshop CS6 Top 100 Simplified Tips and Tricks,http://www.allitebooks.com/wp-content/uploads/2018/11/Adobe-Photoshop-CS6-Top-100-Simplified-Tips-and-Tricks-400x471.jpg,Lynette Kent,"Take your Photoshop skills to the next level Users who already know Photoshop basics will love this colorful, step-by-step guide to new tricks and techniques. Filled with beyond-the-essentials techniques that show how to take your Photoshop skills to the next level, it is lavishly illustrated with beautiful photos¡­"
,,,
Teach Yourself VISUALLY Office 2013,http://www.allitebooks.com/wp-content/uploads/2018/11/Teach-Yourself-VISUALLY-Office-2013-400x498.jpg,Elaine Marmel,"Learn the new Microsoft Office suite the easy, visualway Microsoft Office 2013 is a power-packed suite of officeproductivity tools including Word, Excel, PowerPoint, Outlook,Access, and Publisher. This easy-to-use visual guide covers thebasics of all six programs, with step-by-step instructions andfull-color screen shots showing what you should see at¡­"
